Date,Amount,Category,Description
10/11/2023,1286.76,Health,Health expense
9/2/2024,2567.4,Transport,Transport expense
4/18/2023,3612.22,Education,Education expense
3/31/2025,1354.04,Education,Education expense
11/6/2025,1416.04,Food,Food expense
4/28/2025,315.74,Food,Food expense
1/28/2025,2738.25,Education,Education expense
2/14/2023,4450.12,Education,Education expense
3/2/2024,374.62,Education,Education expense
10/25/2024,418.36,Food,Food expense
11/24/2023,3513.29,Transport,Transport expense
2/1/2025,3510.77,Utilities,Utilities expense
7/4/2024,2478.32,Food,Food expense
2/4/2024,1903.56,Entertainment,Entertainment expense
5/8/2025,908.22,Utilities,Utilities expense
3/29/2025,3299.17,Transport,Transport expense
2/15/2024,399.88,Utilities,Utilities expense
11/18/2023,1394.88,Health,Health expense
1/21/2025,336.07,Transport,Transport expense
8/25/2024,4850.07,Shopping,Shopping expense
12/26/2024,4896.73,Health,Health expense
1/30/2023,1966.02,Transport,Transport expense
11/9/2024,2269.7,Education,Education expense
8/1/2024,444.42,Entertainment,Entertainment expense
4/22/2023,994.68,Entertainment,Entertainment expense
11/18/2025,2572.93,Transport,Transport expense
1/2/2024,1342.34,Entertainment,Entertainment expense
12/31/2025,1347.18,Food,Food expense
9/20/2024,2472.76,Utilities,Utilities expense
5/17/2024,3716.5,Education,Education expense
2/26/2023,3943.6,Entertainment,Entertainment expense
10/22/2023,4081.69,Transport,Transport expense
12/13/2023,2823.83,Education,Education expense
2/3/2025,97.25,Food,Food expense
3/24/2025,2753.37,Education,Education expense
7/16/2024,4813.45,Shopping,Shopping expense
2/6/2024,1345.12,Shopping,Shopping expense
4/17/2025,3251.59,Education,Education expense
5/8/2023,4507.19,Health,Health expense
6/30/2024,1579.19,Entertainment,Entertainment expense
2/17/2023,3608.09,Shopping,Shopping expense
9/27/2023,4547.23,Food,Food expense
6/29/2024,3972.11,Transport,Transport expense
7/19/2025,3073.3,Health,Health expense
7/19/2024,888.28,Food,Food expense
12/2/2023,4819.64,Transport,Transport expense
7/18/2025,1145.53,Entertainment,Entertainment expense
8/20/2025,1190.57,Entertainment,Entertainment expense
9/19/2024,845.56,Transport,Transport expense
7/6/2023,2482.59,Food,Food expense
9/22/2025,1729.62,Food,Food expense
12/2/2025,225.38,Shopping,Shopping expense
1/12/2025,1579.35,Education,Education expense
4/24/2024,3698.43,Shopping,Shopping expense
9/1/2023,4686.86,Transport,Transport expense
3/21/2025,698.9,Entertainment,Entertainment expense
8/29/2024,3262.86,Health,Health expense
10/8/2024,2546.35,Health,Health expense
7/14/2023,780.13,Health,Health expense
8/16/2024,1434.82,Entertainment,Entertainment expense
6/29/2025,2982.56,Utilities,Utilities expense
12/3/2023,2514.78,Food,Food expense
6/11/2025,4469.21,Education,Education expense
2/9/2025,3082.86,Transport,Transport expense
3/10/2023,1861.72,Food,Food expense
2/1/2024,1732.33,Transport,Transport expense
8/11/2025,3015.47,Food,Food expense
3/30/2023,3392.9,Health,Health expense
10/4/2025,1297.06,Shopping,Shopping expense
8/10/2024,1450.62,Entertainment,Entertainment expense
8/23/2024,4161.44,Shopping,Shopping expense
12/22/2024,180.21,Food,Food expense
6/14/2025,4449.32,Shopping,Shopping expense
1/12/2024,2530.18,Transport,Transport expense
1/27/2024,3634.39,Transport,Transport expense
3/24/2025,2925.8,Utilities,Utilities expense
8/1/2023,373.9,Transport,Transport expense
9/11/2024,451.77,Shopping,Shopping expense
4/16/2023,3944.69,Shopping,Shopping expense
7/31/2025,1340.56,Health,Health expense
6/18/2024,843.38,Food,Food expense
11/16/2024,2720.5,Education,Education expense
7/16/2023,3073.46,Health,Health expense
4/6/2023,1424.41,Entertainment,Entertainment expense
1/6/2024,4588.49,Transport,Transport expense
11/11/2023,4673.19,Shopping,Shopping expense
11/6/2025,221.57,Shopping,Shopping expense
6/30/2025,4454.61,Shopping,Shopping expense
4/9/2024,821.04,Food,Food expense
6/24/2025,1636.15,Entertainment,Entertainment expense
2/19/2023,2104.09,Education,Education expense
7/31/2023,4176.61,Education,Education expense
1/5/2023,2831.49,Shopping,Shopping expense
11/16/2024,1597.38,Utilities,Utilities expense
6/27/2024,275.62,Utilities,Utilities expense
2/4/2025,3322.4,Entertainment,Entertainment expense
12/20/2025,1045.22,Food,Food expense
10/24/2024,2107.8,Shopping,Shopping expense
2/13/2023,1584.68,Food,Food expense
4/18/2025,1037.26,Health,Health expense
8/24/2024,2775.57,Utilities,Utilities expense
6/8/2023,2755.3,Health,Health expense
3/12/2024,1187.38,Education,Education expense
9/27/2024,2954.33,Food,Food expense
8/4/2024,2530.4,Health,Health expense
10/7/2025,4781.39,Education,Education expense
6/15/2024,1246.69,Food,Food expense
1/20/2023,2107.57,Transport,Transport expense
3/2/2025,538.74,Food,Food expense
12/13/2024,1842.0,Transport,Transport expense
4/24/2024,4842.95,Education,Education expense
8/13/2025,4065.97,Transport,Transport expense
9/20/2023,780.45,Entertainment,Entertainment expense
12/17/2025,4680.23,Transport,Transport expense
9/1/2024,2294.78,Utilities,Utilities expense
9/20/2024,1829.31,Transport,Transport expense
2/19/2023,2017.91,Food,Food expense
1/18/2024,3024.94,Food,Food expense
2/19/2023,2499.73,Health,Health expense
4/25/2023,4579.3,Health,Health expense
8/17/2023,122.83,Education,Education expense
7/25/2023,946.73,Shopping,Shopping expense
3/13/2025,2733.73,Utilities,Utilities expense
11/3/2025,1427.54,Utilities,Utilities expense
3/5/2024,1437.55,Shopping,Shopping expense
1/19/2025,2420.74,Transport,Transport expense
12/7/2025,3023.96,Education,Education expense
10/8/2025,1507.33,Education,Education expense
8/28/2023,1407.44,Transport,Transport expense
10/30/2023,3845.99,Utilities,Utilities expense
1/16/2023,743.33,Entertainment,Entertainment expense
12/9/2025,4141.08,Food,Food expense
10/7/2023,4172.9,Entertainment,Entertainment expense
11/17/2023,1869.26,Utilities,Utilities expense
5/16/2023,1502.65,Food,Food expense
11/22/2023,4983.15,Entertainment,Entertainment expense
3/1/2024,1286.85,Entertainment,Entertainment expense
11/26/2024,157.7,Entertainment,Entertainment expense
11/5/2023,389.25,Education,Education expense
6/6/2025,4670.96,Entertainment,Entertainment expense
4/14/2025,4410.28,Food,Food expense
2/25/2025,3328.32,Entertainment,Entertainment expense
3/20/2025,4262.08,Utilities,Utilities expense
4/8/2023,599.99,Shopping,Shopping expense
11/25/2025,1056.23,Entertainment,Entertainment expense
6/14/2023,4534.24,Education,Education expense
7/6/2024,1441.72,Health,Health expense
5/30/2024,289.89,Education,Education expense
2/13/2023,1684.44,Health,Health expense
8/15/2024,4854.59,Utilities,Utilities expense
3/2/2025,3484.59,Education,Education expense
12/3/2023,3237.58,Transport,Transport expense
2/16/2024,4603.94,Transport,Transport expense
3/23/2023,4656.4,Education,Education expense
9/16/2023,3622.15,Entertainment,Entertainment expense
6/24/2023,1582.12,Utilities,Utilities expense
2/15/2025,4578.26,Health,Health expense
1/10/2024,4889.87,Transport,Transport expense
10/28/2024,772.25,Shopping,Shopping expense
12/1/2023,4579.61,Health,Health expense
3/2/2023,4646.08,Food,Food expense
8/18/2023,3747.25,Education,Education expense
2/17/2024,1457.02,Food,Food expense
10/15/2023,1517.51,Utilities,Utilities expense
10/4/2023,4139.37,Food,Food expense
10/29/2023,1225.84,Utilities,Utilities expense
12/23/2025,2278.47,Shopping,Shopping expense
12/19/2025,4466.12,Entertainment,Entertainment expense
5/11/2023,175.83,Health,Health expense
10/21/2025,3339.52,Food,Food expense
6/10/2023,3925.89,Food,Food expense
8/12/2024,1958.4,Health,Health expense
2/7/2025,1325.48,Shopping,Shopping expense
6/1/2025,4016.71,Food,Food expense
2/10/2025,1504.65,Transport,Transport expense
11/10/2024,1194.94,Transport,Transport expense
5/1/2025,3446.44,Transport,Transport expense
10/27/2024,2510.09,Health,Health expense
7/13/2025,2774.0,Shopping,Shopping expense
2/23/2023,212.96,Health,Health expense
12/29/2023,4644.83,Food,Food expense
8/28/2023,774.26,Utilities,Utilities expense
5/1/2023,1854.8,Education,Education expense
10/10/2024,2569.95,Food,Food expense
10/10/2025,2319.37,Entertainment,Entertainment expense
6/20/2023,4449.63,Health,Health expense
4/14/2024,1556.83,Shopping,Shopping expense
3/20/2025,1070.32,Health,Health expense
10/23/2025,158.67,Education,Education expense
2/25/2025,1198.68,Transport,Transport expense
9/17/2024,194.22,Utilities,Utilities expense
12/3/2023,4658.73,Health,Health expense
9/12/2023,225.96,Shopping,Shopping expense
9/16/2024,79.67,Entertainment,Entertainment expense
8/20/2025,985.42,Transport,Transport expense
11/11/2024,3711.33,Utilities,Utilities expense
8/22/2025,3096.6,Health,Health expense
1/18/2023,3347.73,Transport,Transport expense
12/27/2023,4457.49,Education,Education expense
3/26/2025,2590.54,Food,Food expense
10/19/2024,65.54,Education,Education expense
8/12/2025,3302.98,Entertainment,Entertainment expense
6/17/2023,513.21,Utilities,Utilities expense
12/10/2024,1613.41,Shopping,Shopping expense
2/1/2023,3742.22,Health,Health expense
10/17/2024,2704.97,Entertainment,Entertainment expense
5/23/2024,283.61,Transport,Transport expense
2/2/2025,3570.37,Shopping,Shopping expense
7/25/2023,3061.35,Utilities,Utilities expense
8/25/2024,4913.53,Transport,Transport expense
3/10/2025,2662.09,Transport,Transport expense
10/21/2024,4384.73,Shopping,Shopping expense
9/6/2024,3329.64,Education,Education expense
3/12/2023,1114.52,Entertainment,Entertainment expense
7/5/2023,1200.28,Entertainment,Entertainment expense
12/14/2025,861.52,Food,Food expense
1/6/2023,4249.39,Education,Education expense
1/22/2023,3112.81,Transport,Transport expense
10/4/2025,342.16,Entertainment,Entertainment expense
4/18/2025,2437.0,Health,Health expense
9/14/2024,2060.9,Health,Health expense
6/7/2024,426.52,Shopping,Shopping expense
2/4/2023,465.59,Shopping,Shopping expense
10/31/2025,1831.66,Transport,Transport expense
7/14/2023,4985.92,Entertainment,Entertainment expense
12/6/2024,3097.39,Shopping,Shopping expense
5/29/2024,1542.27,Transport,Transport expense
10/16/2025,1544.05,Transport,Transport expense
4/28/2023,1609.59,Food,Food expense
12/19/2025,635.97,Health,Health expense
12/8/2025,2532.05,Shopping,Shopping expense
1/17/2024,1761.02,Food,Food expense
12/17/2025,776.9,Education,Education expense
12/15/2024,4804.99,Education,Education expense
1/26/2025,278.2,Health,Health expense
7/8/2023,578.36,Shopping,Shopping expense
10/14/2023,2409.79,Shopping,Shopping expense
2/12/2024,1070.85,Transport,Transport expense
10/16/2025,4500.3,Transport,Transport expense
7/25/2025,3568.22,Entertainment,Entertainment expense
4/25/2023,1008.18,Shopping,Shopping expense
4/9/2025,4429.1,Shopping,Shopping expense
3/25/2024,2162.86,Shopping,Shopping expense
11/2/2023,1539.35,Utilities,Utilities expense
12/5/2024,3635.11,Transport,Transport expense
10/6/2023,3748.31,Health,Health expense
1/14/2025,1762.05,Transport,Transport expense
5/22/2024,4813.38,Shopping,Shopping expense
9/13/2024,1041.17,Utilities,Utilities expense
1/26/2025,4110.32,Food,Food expense
9/16/2025,2827.2,Health,Health expense
11/8/2025,535.9,Shopping,Shopping expense
7/14/2023,3216.31,Education,Education expense
4/18/2024,50.24,Education,Education expense
3/9/2025,3070.77,Education,Education expense
7/2/2024,1306.79,Transport,Transport expense
6/20/2024,4947.17,Entertainment,Entertainment expense
4/6/2024,3357.13,Health,Health expense
1/14/2023,3344.54,Transport,Transport expense
10/28/2024,3961.17,Shopping,Shopping expense
3/31/2024,4715.88,Health,Health expense
1/29/2024,2658.23,Shopping,Shopping expense
7/26/2025,217.29,Shopping,Shopping expense
2/9/2024,4814.59,Entertainment,Entertainment expense
4/30/2023,4250.86,Food,Food expense
2/10/2023,3030.86,Entertainment,Entertainment expense
8/15/2025,419.16,Transport,Transport expense
5/28/2023,4635.58,Health,Health expense
7/1/2025,1554.53,Health,Health expense
6/15/2025,1789.68,Food,Food expense
2/6/2024,4972.59,Transport,Transport expense
10/27/2024,4285.26,Entertainment,Entertainment expense
7/24/2025,1644.82,Transport,Transport expense
6/4/2023,4735.59,Health,Health expense
5/12/2024,4121.89,Food,Food expense
8/4/2023,314.99,Education,Education expense
10/20/2023,3034.91,Education,Education expense
3/4/2025,372.57,Transport,Transport expense
1/25/2024,442.62,Transport,Transport expense
11/5/2025,699.04,Utilities,Utilities expense
2/11/2023,557.69,Shopping,Shopping expense
8/27/2023,978.5,Shopping,Shopping expense
7/19/2025,3031.89,Transport,Transport expense
6/21/2024,3968.24,Health,Health expense
5/30/2025,1692.76,Entertainment,Entertainment expense
11/10/2023,372.85,Food,Food expense
1/13/2023,4439.58,Transport,Transport expense
4/6/2024,1171.17,Shopping,Shopping expense
11/21/2025,781.95,Education,Education expense
7/7/2024,3083.83,Education,Education expense
12/4/2023,4729.97,Shopping,Shopping expense
2/11/2024,3965.21,Shopping,Shopping expense
3/31/2025,1861.27,Utilities,Utilities expense
5/22/2024,3812.03,Shopping,Shopping expense
7/28/2025,3441.99,Food,Food expense
11/20/2023,4753.43,Education,Education expense
10/9/2023,3103.47,Utilities,Utilities expense
6/17/2023,2885.17,Shopping,Shopping expense
1/15/2025,2059.13,Health,Health expense
1/15/2023,1442.85,Food,Food expense
5/27/2023,3651.85,Food,Food expense
7/30/2024,2307.17,Shopping,Shopping expense
10/20/2024,4773.16,Health,Health expense
7/14/2023,4514.53,Education,Education expense
12/12/2023,1835.03,Entertainment,Entertainment expense
1/12/2023,3169.6,Food,Food expense
8/16/2024,3637.49,Food,Food expense
8/21/2024,3485.44,Education,Education expense
12/23/2023,2496.52,Food,Food expense
11/19/2024,72.6,Food,Food expense
3/14/2023,2636.68,Education,Education expense
9/3/2023,266.81,Shopping,Shopping expense
1/7/2025,4877.84,Utilities,Utilities expense
10/2/2025,300.15,Shopping,Shopping expense
10/25/2024,2834.34,Food,Food expense
10/24/2024,3402.84,Health,Health expense
8/6/2025,1095.26,Entertainment,Entertainment expense
3/26/2023,1894.23,Utilities,Utilities expense
10/17/2025,3587.86,Transport,Transport expense
3/29/2024,4250.45,Transport,Transport expense
10/22/2024,2866.48,Transport,Transport expense
3/11/2024,2116.19,Food,Food expense
8/17/2023,2464.17,Food,Food expense
6/12/2025,2675.27,Food,Food expense
5/2/2023,1299.05,Utilities,Utilities expense
9/23/2025,2183.37,Utilities,Utilities expense
11/2/2024,4068.56,Education,Education expense
4/25/2024,4234.33,Entertainment,Entertainment expense
3/8/2024,1637.44,Transport,Transport expense
2/17/2024,785.86,Utilities,Utilities expense
5/7/2025,3913.75,Shopping,Shopping expense
7/27/2023,4586.69,Education,Education expense
4/18/2024,3764.71,Utilities,Utilities expense
9/13/2023,1681.6,Food,Food expense
9/20/2025,3225.54,Utilities,Utilities expense
10/1/2024,1537.63,Entertainment,Entertainment expense
12/4/2025,309.99,Utilities,Utilities expense
1/25/2025,710.5,Education,Education expense
4/25/2024,266.8,Education,Education expense
1/19/2025,4229.44,Transport,Transport expense
9/1/2025,2565.01,Entertainment,Entertainment expense
6/14/2024,4680.19,Entertainment,Entertainment expense
11/13/2025,4715.89,Shopping,Shopping expense
10/30/2023,4601.6,Education,Education expense
6/11/2023,3314.48,Entertainment,Entertainment expense
9/14/2024,2704.77,Entertainment,Entertainment expense
3/16/2023,138.94,Transport,Transport expense
2/4/2023,4900.45,Health,Health expense
2/20/2024,732.29,Education,Education expense
1/1/2024,2433.79,Food,Food expense
10/21/2024,4292.1,Entertainment,Entertainment expense
12/18/2023,1028.54,Shopping,Shopping expense
2/24/2025,4096.17,Utilities,Utilities expense
12/5/2023,980.75,Food,Food expense
5/26/2024,1104.38,Transport,Transport expense
1/20/2024,4274.81,Health,Health expense
2/22/2023,1625.85,Transport,Transport expense
7/1/2025,1132.08,Food,Food expense
10/31/2025,1838.87,Entertainment,Entertainment expense
8/6/2023,2616.51,Education,Education expense
5/1/2024,3753.35,Shopping,Shopping expense
9/4/2023,2146.92,Shopping,Shopping expense
7/31/2023,308.88,Shopping,Shopping expense
1/20/2023,2178.25,Transport,Transport expense
12/6/2024,3783.8,Health,Health expense
5/17/2025,4206.33,Food,Food expense
3/8/2023,4926.18,Education,Education expense
1/12/2023,1608.28,Shopping,Shopping expense
5/31/2025,84.4,Entertainment,Entertainment expense
1/23/2024,4142.3,Utilities,Utilities expense
3/8/2024,3646.89,Shopping,Shopping expense
11/14/2025,2154.49,Food,Food expense
10/31/2025,124.78,Food,Food expense
2/14/2025,1612.73,Shopping,Shopping expense
1/24/2025,2698.88,Transport,Transport expense
2/10/2025,3323.89,Food,Food expense
10/15/2024,3520.56,Entertainment,Entertainment expense
8/18/2023,307.42,Food,Food expense
1/29/2023,3902.14,Utilities,Utilities expense
5/3/2025,2332.2,Transport,Transport expense
6/10/2024,3850.97,Shopping,Shopping expense
5/21/2023,221.25,Entertainment,Entertainment expense
5/23/2023,1281.2,Education,Education expense
9/14/2023,1019.77,Health,Health expense
9/28/2025,2646.12,Health,Health expense
8/21/2023,3046.46,Transport,Transport expense
8/12/2024,4514.1,Shopping,Shopping expense
1/20/2024,630.42,Food,Food expense
1/31/2025,1297.51,Transport,Transport expense
5/12/2024,4470.36,Transport,Transport expense
5/18/2023,3774.15,Education,Education expense
12/13/2024,1427.35,Education,Education expense
5/22/2023,1505.33,Utilities,Utilities expense
8/17/2023,2773.62,Food,Food expense
10/21/2023,424.76,Education,Education expense
7/8/2025,1811.15,Health,Health expense
1/28/2025,1839.83,Health,Health expense
8/19/2025,2844.58,Utilities,Utilities expense
9/12/2025,4601.48,Transport,Transport expense
1/15/2024,3859.48,Health,Health expense
8/26/2025,1979.4,Education,Education expense
12/8/2023,1640.07,Transport,Transport expense
7/20/2023,1460.17,Entertainment,Entertainment expense
2/24/2023,2063.14,Education,Education expense
